date,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,sentiment_count,positive_ratio,negative_ratio,sentiment_range,sentiment_mom_3d,sentiment_mom_7d,bull_bear_ratio
2026-02-12,-0.20795644483258646,0.4535424110319476,0.9065525531768799,-0.9635507464408875,62,0.06451612903225806,0.2903225806451613,1.8701032996177673,-0.23488549170856662,-0.18113775977972194,0.22222145679275992
2026-02-13,-0.15079045127814925,0.4526653265997049,0.9360531568527222,-0.9715723395347595,71,0.08450704225352113,0.28169014084507044,1.9076254963874817,-0.21860149142028085,-0.17567268656786697,0.2999989350037807
2026-02-14,-0.03843081799837259,0.3713066905145971,0.902386486530304,-0.9147937893867493,52,0.09615384615384616,0.1346153846153846,1.8171802759170532,-0.13239257136970276,-0.1538636695567243,0.714280408202682
2026-02-15,-0.15487822532653808,0.4200974983057002,0.8679662346839905,-0.9742681980133057,50,0.1,0.28,1.8422344326972961,-0.1146998315343533,-0.16705665596245348,0.35714158163720844
2026-02-16,-0.2052126955240965,0.5453374881591011,0.9428392052650452,-0.9695037603378296,80,0.125,0.3625,1.9123429656028748,-0.13284057961633572,-0.17913838075040803,0.344826634961007
2026-02-17,-0.14595702037972919,0.4995752827894758,0.9440786242485046,-0.9729853868484497,59,0.1016949152542373,0.2711864406779661,1.9170640110969543,-0.16868264707678793,-0.17146903335565414,0.37499861719259914
2026-02-18,-0.06680177710950375,0.3376813037351233,0.9253728985786438,-0.972730815410614,64,0.046875,0.140625,1.8981037139892578,-0.13932383100444315,-0.1385753474927108,0.3333309629798188
2026-02-19,-0.10352868835131328,0.3912450375819241,0.9275661706924438,-0.9721611142158508,60,0.06666666666666667,0.2,1.8997272849082947,-0.10542916194684875,-0.12365709656681466,0.3333316666749999
2026-02-20,-0.12874421920325305,0.4482658122485076,0.9412962198257446,-0.9637102484703064,74,0.10810810810810811,0.25675675675675674,1.905006468296051,-0.09969156155469001,-0.12050763484182947,0.4210509916961377
2026-02-21,-0.09236495267777216,0.4472187889529317,0.9478591084480286,-0.9555525779724121,42,0.11904761904761904,0.23809523809523808,1.9034116864204407,-0.10821262007744616,-0.12821251122460084,0.49999790000881994
2026-02-22,-0.3098096862949174,0.4728084773664584,0.9484030604362488,-0.9592107534408569,58,0.034482758620689655,0.41379310344827586,1.9076138138771057,-0.1769729527253142,-0.15034557707722646,0.08333313194493114
2026-02-23,-0.24217554817839368,0.42502047346169197,0.699932336807251,-0.9675778746604919,82,0.036585365853658534,0.32926829268292684,1.667510211467743,-0.21478339571702776,-0.15562598459926894,0.11111077366357627
2026-02-24,-0.27316236688244727,0.4501821550807887,0.7491063475608826,-0.9728843569755554,62,0.04838709677419355,0.3709677419354839,1.721990704536438,-0.27504920045191944,-0.17379817695680005,0.13043443100283816
2026-02-25,0.0653680020570755,0.44576611869751304,0.8762933611869812,-0.9342087507247925,50,0.24,0.14,1.8105021119117737,-0.14998997100125513,-0.15491677993300304,1.7142734694752177
2026-02-26,-0.07454361707445174,0.5289925886345629,0.8821718096733093,-0.9693673849105835,63,0.19047619047619047,0.25396825396825395,1.8515391945838928,-0.0941126606332745,-0.15077605546488,0.7499970468866279
2026-02-27,-0.22662297238906223,0.48700298156262317,0.9436181783676147,-0.9686040282249451,60,0.08333333333333333,0.35,1.9122222065925598,-0.07859952913547948,-0.16475873449142414,0.2380945578250729
2026-02-28,-0.22298900805986843,0.46246521749536434,0.9065279364585876,-0.9661625623703003,65,0.06153846153846154,0.3230769230769231,1.872690498828888,-0.17471853250779412,-0.18341931383172363,0.19047560090885435
2026-03-01,-0.1967444044092427,0.5085556396581239,0.9445469975471497,-0.9636678099632263,46,0.10869565217391304,0.32608695652173914,1.908214807510376,-0.21545212828605778,-0.16726713070519866,0.33333231111424594
2026-03-02,-0.010413129872913603,0.45208693694852026,0.9280354380607605,-0.9726089239120483,79,0.17721518987341772,0.20253164556962025,1.9006443619728088,-0.1433821807806749,-0.13415821380441578,0.8749956797088314
2026-03-03,0.0005198931484891657,0.4207285482463986,0.9259225130081177,-0.9502913951873779,57,0.12280701754385964,0.12280701754385964,1.8762139081954956,-0.06887921371122237,-0.09506074808571059,0.9999918572091627
2026-03-04,0.16735814655980757,0.4498788453344597,0.9401221871376038,-0.9241592288017273,62,0.27419354838709675,0.08064516129032258,1.864281415939331,0.05248830327846105,-0.08049072744246313,3.3999578405227773
2026-03-05,0.02022457335676466,0.47387446169694003,0.9140609502792358,-0.9580711126327515,56,0.21428571428571427,0.17857142857142858,1.8721320629119873,0.06270087102168714,-0.06695241452371795,1.1999932800376316
2026-03-06,-0.18866449706256389,0.45536159504341267,0.94790118932724,-0.9728753566741943,80,0.075,0.3125,1.9207765460014343,-0.00036059238199720456,-0.06152977519136103,0.2399992320024576
2026-03-07,-0.15349504715058862,0.3410502282352177,0.0,-0.9697486758232117,41,0.0,0.17073170731707318,0.9697486758232117,-0.10731165695212926,-0.05160206649003534,0.0
2026-03-08,-0.09212787243826635,0.47853933651909814,0.8778091073036194,-0.9691058993339539,58,0.15517241379310345,0.25862068965517243,1.8469150066375732,-0.1447624722171396,-0.03665684763703873,0.5999976800089707
2026-03-09,0.023867365800672107,0.42073062448055487,0.9545935392379761,-0.9630281329154968,72,0.1527777777777778,0.1111111111111111,1.917621672153473,-0.07391851792939429,-0.031759633969383624,1.3749876251113742
